id,analysis_date,quadrant,balance_sheet_trend,interest_rate_level,balance_sheet_value,interest_rate_value,analysis_notes,json_data
11,2025-03-31 18:49:40,A,Decreasing,High,6740253.0,4.33,Inflation fighting quadrant - focus on value stocks,"{""balance_sheet_data"": {""2024-09-04"": 7112567.0, ""2024-09-11"": 7115001.0, ""2024-09-18"": 7109137.0, ""2024-09-25"": 7080059.0, ""2024-10-02"": 7046925.0, ""2024-10-09"": 7046840.0, ""2024-10-16"": 7039284.0, ""2024-10-23"": 7029408.0, ""2024-10-30"": 7013490.0, ""2024-11-06"": 6994299.0, ""2024-11-13"": 6967108.0, ""2024-11-20"": 6923731.0, ""2024-11-27"": 6905140.0, ""2024-12-04"": 6895827.0, ""2024-12-11"": 6897485.0, ""2024-12-18"": 6889332.0, ""2024-12-25"": 6885963.0, ""2025-01-01"": 6852491.0, ""2025-01-08"": 6853554.0, ""2025-01-15"": 6834070.0, ""2025-01-22"": 6831760.0, ""2025-01-29"": 6818186.0, ""2025-02-05"": 6810935.0, ""2025-02-12"": 6813513.0, ""2025-02-19"": 6782332.0, ""2025-02-26"": 6766101.0, ""2025-03-05"": 6756764.0, ""2025-03-12"": 6759571.0, ""2025-03-19"": 6755982.0, ""2025-03-26"": 6740253.0}, ""interest_rate_data"": {""2022-09-01"": 2.56, ""2022-10-01"": 3.08, ""2022-11-01"": 3.78, ""2022-12-01"": 4.1, ""2023-01-01"": 4.33, ""2023-02-01"": 4.57, ""2023-03-01"": 4.65, ""2023-04-01"": 4.83, ""2023-05-01"": 5.06, ""2023-06-01"": 5.08, ""2023-07-01"": 5.12, ""2023-08-01"": 5.33, ""2023-09-01"": 5.33, ""2023-10-01"": 5.33, ""2023-11-01"": 5.33, ""2023-12-01"": 5.33, ""2024-01-01"": 5.33, ""2024-02-01"": 5.33, ""2024-03-01"": 5.33, ""2024-04-01"": 5.33, ""2024-05-01"": 5.33, ""2024-06-01"": 5.33, ""2024-07-01"": 5.33, ""2024-08-01"": 5.33, ""2024-09-01"": 5.13, ""2024-10-01"": 4.83, ""2024-11-01"": 4.64, ""2024-12-01"": 4.48, ""2025-01-01"": 4.33, ""2025-02-01"": 4.33}}"
10,2025-03-31 18:49:37,A,Decreasing,High,6740253.0,4.33,Inflation fighting quadrant - focus on value stocks,"{""balance_sheet_data"": {""2024-09-04"": 7112567.0, ""2024-09-11"": 7115001.0, ""2024-09-18"": 7109137.0, ""2024-09-25"": 7080059.0, ""2024-10-02"": 7046925.0, ""2024-10-09"": 7046840.0, ""2024-10-16"": 7039284.0, ""2024-10-23"": 7029408.0, ""2024-10-30"": 7013490.0, ""2024-11-06"": 6994299.0, ""2024-11-13"": 6967108.0, ""2024-11-20"": 6923731.0, ""2024-11-27"": 6905140.0, ""2024-12-04"": 6895827.0, ""2024-12-11"": 6897485.0, ""2024-12-18"": 6889332.0, ""2024-12-25"": 6885963.0, ""2025-01-01"": 6852491.0, ""2025-01-08"": 6853554.0, ""2025-01-15"": 6834070.0, ""2025-01-22"": 6831760.0, ""2025-01-29"": 6818186.0, ""2025-02-05"": 6810935.0, ""2025-02-12"": 6813513.0, ""2025-02-19"": 6782332.0, ""2025-02-26"": 6766101.0, ""2025-03-05"": 6756764.0, ""2025-03-12"": 6759571.0, ""2025-03-19"": 6755982.0, ""2025-03-26"": 6740253.0}, ""interest_rate_data"": {""2022-09-01"": 2.56, ""2022-10-01"": 3.08, ""2022-11-01"": 3.78, ""2022-12-01"": 4.1, ""2023-01-01"": 4.33, ""2023-02-01"": 4.57, ""2023-03-01"": 4.65, ""2023-04-01"": 4.83, ""2023-05-01"": 5.06, ""2023-06-01"": 5.08, ""2023-07-01"": 5.12, ""2023-08-01"": 5.33, ""2023-09-01"": 5.33, ""2023-10-01"": 5.33, ""2023-11-01"": 5.33, ""2023-12-01"": 5.33, ""2024-01-01"": 5.33, ""2024-02-01"": 5.33, ""2024-03-01"": 5.33, ""2024-04-01"": 5.33, ""2024-05-01"": 5.33, ""2024-06-01"": 5.33, ""2024-07-01"": 5.33, ""2024-08-01"": 5.33, ""2024-09-01"": 5.13, ""2024-10-01"": 4.83, ""2024-11-01"": 4.64, ""2024-12-01"": 4.48, ""2025-01-01"": 4.33, ""2025-02-01"": 4.33}}"
9,2025-03-31 18:49:34,A,Decreasing,High,6740253.0,4.33,Inflation fighting quadrant - focus on value stocks,"{""balance_sheet_data"": {""2024-09-04"": 7112567.0, ""2024-09-11"": 7115001.0, ""2024-09-18"": 7109137.0, ""2024-09-25"": 7080059.0, ""2024-10-02"": 7046925.0, ""2024-10-09"": 7046840.0, ""2024-10-16"": 7039284.0, ""2024-10-23"": 7029408.0, ""2024-10-30"": 7013490.0, ""2024-11-06"": 6994299.0, ""2024-11-13"": 6967108.0, ""2024-11-20"": 6923731.0, ""2024-11-27"": 6905140.0, ""2024-12-04"": 6895827.0, ""2024-12-11"": 6897485.0, ""2024-12-18"": 6889332.0, ""2024-12-25"": 6885963.0, ""2025-01-01"": 6852491.0, ""2025-01-08"": 6853554.0, ""2025-01-15"": 6834070.0, ""2025-01-22"": 6831760.0, ""2025-01-29"": 6818186.0, ""2025-02-05"": 6810935.0, ""2025-02-12"": 6813513.0, ""2025-02-19"": 6782332.0, ""2025-02-26"": 6766101.0, ""2025-03-05"": 6756764.0, ""2025-03-12"": 6759571.0, ""2025-03-19"": 6755982.0, ""2025-03-26"": 6740253.0}, ""interest_rate_data"": {""2022-09-01"": 2.56, ""2022-10-01"": 3.08, ""2022-11-01"": 3.78, ""2022-12-01"": 4.1, ""2023-01-01"": 4.33, ""2023-02-01"": 4.57, ""2023-03-01"": 4.65, ""2023-04-01"": 4.83, ""2023-05-01"": 5.06, ""2023-06-01"": 5.08, ""2023-07-01"": 5.12, ""2023-08-01"": 5.33, ""2023-09-01"": 5.33, ""2023-10-01"": 5.33, ""2023-11-01"": 5.33, ""2023-12-01"": 5.33, ""2024-01-01"": 5.33, ""2024-02-01"": 5.33, ""2024-03-01"": 5.33, ""2024-04-01"": 5.33, ""2024-05-01"": 5.33, ""2024-06-01"": 5.33, ""2024-07-01"": 5.33, ""2024-08-01"": 5.33, ""2024-09-01"": 5.13, ""2024-10-01"": 4.83, ""2024-11-01"": 4.64, ""2024-12-01"": 4.48, ""2025-01-01"": 4.33, ""2025-02-01"": 4.33}}"
8,2025-03-31 18:48:56,A,Decreasing,High,6740253.0,4.33,Inflation fighting quadrant - focus on value stocks,"{""balance_sheet_data"": {""2024-09-04"": 7112567.0, ""2024-09-11"": 7115001.0, ""2024-09-18"": 7109137.0, ""2024-09-25"": 7080059.0, ""2024-10-02"": 7046925.0, ""2024-10-09"": 7046840.0, ""2024-10-16"": 7039284.0, ""2024-10-23"": 7029408.0, ""2024-10-30"": 7013490.0, ""2024-11-06"": 6994299.0, ""2024-11-13"": 6967108.0, ""2024-11-20"": 6923731.0, ""2024-11-27"": 6905140.0, ""2024-12-04"": 6895827.0, ""2024-12-11"": 6897485.0, ""2024-12-18"": 6889332.0, ""2024-12-25"": 6885963.0, ""2025-01-01"": 6852491.0, ""2025-01-08"": 6853554.0, ""2025-01-15"": 6834070.0, ""2025-01-22"": 6831760.0, ""2025-01-29"": 6818186.0, ""2025-02-05"": 6810935.0, ""2025-02-12"": 6813513.0, ""2025-02-19"": 6782332.0, ""2025-02-26"": 6766101.0, ""2025-03-05"": 6756764.0, ""2025-03-12"": 6759571.0, ""2025-03-19"": 6755982.0, ""2025-03-26"": 6740253.0}, ""interest_rate_data"": {""2022-09-01"": 2.56, ""2022-10-01"": 3.08, ""2022-11-01"": 3.78, ""2022-12-01"": 4.1, ""2023-01-01"": 4.33, ""2023-02-01"": 4.57, ""2023-03-01"": 4.65, ""2023-04-01"": 4.83, ""2023-05-01"": 5.06, ""2023-06-01"": 5.08, ""2023-07-01"": 5.12, ""2023-08-01"": 5.33, ""2023-09-01"": 5.33, ""2023-10-01"": 5.33, ""2023-11-01"": 5.33, ""2023-12-01"": 5.33, ""2024-01-01"": 5.33, ""2024-02-01"": 5.33, ""2024-03-01"": 5.33, ""2024-04-01"": 5.33, ""2024-05-01"": 5.33, ""2024-06-01"": 5.33, ""2024-07-01"": 5.33, ""2024-08-01"": 5.33, ""2024-09-01"": 5.13, ""2024-10-01"": 4.83, ""2024-11-01"": 4.64, ""2024-12-01"": 4.48, ""2025-01-01"": 4.33, ""2025-02-01"": 4.33}}"
7,2025-03-31 18:48:54,A,Decreasing,High,6740253.0,4.33,Inflation fighting quadrant - focus on value stocks,"{""balance_sheet_data"": {""2024-09-04"": 7112567.0, ""2024-09-11"": 7115001.0, ""2024-09-18"": 7109137.0, ""2024-09-25"": 7080059.0, ""2024-10-02"": 7046925.0, ""2024-10-09"": 7046840.0, ""2024-10-16"": 7039284.0, ""2024-10-23"": 7029408.0, ""2024-10-30"": 7013490.0, ""2024-11-06"": 6994299.0, ""2024-11-13"": 6967108.0, ""2024-11-20"": 6923731.0, ""2024-11-27"": 6905140.0, ""2024-12-04"": 6895827.0, ""2024-12-11"": 6897485.0, ""2024-12-18"": 6889332.0, ""2024-12-25"": 6885963.0, ""2025-01-01"": 6852491.0, ""2025-01-08"": 6853554.0, ""2025-01-15"": 6834070.0, ""2025-01-22"": 6831760.0, ""2025-01-29"": 6818186.0, ""2025-02-05"": 6810935.0, ""2025-02-12"": 6813513.0, ""2025-02-19"": 6782332.0, ""2025-02-26"": 6766101.0, ""2025-03-05"": 6756764.0, ""2025-03-12"": 6759571.0, ""2025-03-19"": 6755982.0, ""2025-03-26"": 6740253.0}, ""interest_rate_data"": {""2022-09-01"": 2.56, ""2022-10-01"": 3.08, ""2022-11-01"": 3.78, ""2022-12-01"": 4.1, ""2023-01-01"": 4.33, ""2023-02-01"": 4.57, ""2023-03-01"": 4.65, ""2023-04-01"": 4.83, ""2023-05-01"": 5.06, ""2023-06-01"": 5.08, ""2023-07-01"": 5.12, ""2023-08-01"": 5.33, ""2023-09-01"": 5.33, ""2023-10-01"": 5.33, ""2023-11-01"": 5.33, ""2023-12-01"": 5.33, ""2024-01-01"": 5.33, ""2024-02-01"": 5.33, ""2024-03-01"": 5.33, ""2024-04-01"": 5.33, ""2024-05-01"": 5.33, ""2024-06-01"": 5.33, ""2024-07-01"": 5.33, ""2024-08-01"": 5.33, ""2024-09-01"": 5.13, ""2024-10-01"": 4.83, ""2024-11-01"": 4.64, ""2024-12-01"": 4.48, ""2025-01-01"": 4.33, ""2025-02-01"": 4.33}}"
6,2025-03-31 18:48:51,A,Decreasing,High,6740253.0,4.33,Inflation fighting quadrant - focus on value stocks,"{""balance_sheet_data"": {""2024-09-04"": 7112567.0, ""2024-09-11"": 7115001.0, ""2024-09-18"": 7109137.0, ""2024-09-25"": 7080059.0, ""2024-10-02"": 7046925.0, ""2024-10-09"": 7046840.0, ""2024-10-16"": 7039284.0, ""2024-10-23"": 7029408.0, ""2024-10-30"": 7013490.0, ""2024-11-06"": 6994299.0, ""2024-11-13"": 6967108.0, ""2024-11-20"": 6923731.0, ""2024-11-27"": 6905140.0, ""2024-12-04"": 6895827.0, ""2024-12-11"": 6897485.0, ""2024-12-18"": 6889332.0, ""2024-12-25"": 6885963.0, ""2025-01-01"": 6852491.0, ""2025-01-08"": 6853554.0, ""2025-01-15"": 6834070.0, ""2025-01-22"": 6831760.0, ""2025-01-29"": 6818186.0, ""2025-02-05"": 6810935.0, ""2025-02-12"": 6813513.0, ""2025-02-19"": 6782332.0, ""2025-02-26"": 6766101.0, ""2025-03-05"": 6756764.0, ""2025-03-12"": 6759571.0, ""2025-03-19"": 6755982.0, ""2025-03-26"": 6740253.0}, ""interest_rate_data"": {""2022-09-01"": 2.56, ""2022-10-01"": 3.08, ""2022-11-01"": 3.78, ""2022-12-01"": 4.1, ""2023-01-01"": 4.33, ""2023-02-01"": 4.57, ""2023-03-01"": 4.65, ""2023-04-01"": 4.83, ""2023-05-01"": 5.06, ""2023-06-01"": 5.08, ""2023-07-01"": 5.12, ""2023-08-01"": 5.33, ""2023-09-01"": 5.33, ""2023-10-01"": 5.33, ""2023-11-01"": 5.33, ""2023-12-01"": 5.33, ""2024-01-01"": 5.33, ""2024-02-01"": 5.33, ""2024-03-01"": 5.33, ""2024-04-01"": 5.33, ""2024-05-01"": 5.33, ""2024-06-01"": 5.33, ""2024-07-01"": 5.33, ""2024-08-01"": 5.33, ""2024-09-01"": 5.13, ""2024-10-01"": 4.83, ""2024-11-01"": 4.64, ""2024-12-01"": 4.48, ""2025-01-01"": 4.33, ""2025-02-01"": 4.33}}"
5,2025-03-31 18:48:48,A,Decreasing,High,6740253.0,4.33,Inflation fighting quadrant - focus on value stocks,"{""balance_sheet_data"": {""2024-09-04"": 7112567.0, ""2024-09-11"": 7115001.0, ""2024-09-18"": 7109137.0, ""2024-09-25"": 7080059.0, ""2024-10-02"": 7046925.0, ""2024-10-09"": 7046840.0, ""2024-10-16"": 7039284.0, ""2024-10-23"": 7029408.0, ""2024-10-30"": 7013490.0, ""2024-11-06"": 6994299.0, ""2024-11-13"": 6967108.0, ""2024-11-20"": 6923731.0, ""2024-11-27"": 6905140.0, ""2024-12-04"": 6895827.0, ""2024-12-11"": 6897485.0, ""2024-12-18"": 6889332.0, ""2024-12-25"": 6885963.0, ""2025-01-01"": 6852491.0, ""2025-01-08"": 6853554.0, ""2025-01-15"": 6834070.0, ""2025-01-22"": 6831760.0, ""2025-01-29"": 6818186.0, ""2025-02-05"": 6810935.0, ""2025-02-12"": 6813513.0, ""2025-02-19"": 6782332.0, ""2025-02-26"": 6766101.0, ""2025-03-05"": 6756764.0, ""2025-03-12"": 6759571.0, ""2025-03-19"": 6755982.0, ""2025-03-26"": 6740253.0}, ""interest_rate_data"": {""2022-09-01"": 2.56, ""2022-10-01"": 3.08, ""2022-11-01"": 3.78, ""2022-12-01"": 4.1, ""2023-01-01"": 4.33, ""2023-02-01"": 4.57, ""2023-03-01"": 4.65, ""2023-04-01"": 4.83, ""2023-05-01"": 5.06, ""2023-06-01"": 5.08, ""2023-07-01"": 5.12, ""2023-08-01"": 5.33, ""2023-09-01"": 5.33, ""2023-10-01"": 5.33, ""2023-11-01"": 5.33, ""2023-12-01"": 5.33, ""2024-01-01"": 5.33, ""2024-02-01"": 5.33, ""2024-03-01"": 5.33, ""2024-04-01"": 5.33, ""2024-05-01"": 5.33, ""2024-06-01"": 5.33, ""2024-07-01"": 5.33, ""2024-08-01"": 5.33, ""2024-09-01"": 5.13, ""2024-10-01"": 4.83, ""2024-11-01"": 4.64, ""2024-12-01"": 4.48, ""2025-01-01"": 4.33, ""2025-02-01"": 4.33}}"
4,2025-03-31 18:43:00,A,Decreasing,High,6740253.0,4.33,Inflation fighting quadrant - focus on value stocks,"{""balance_sheet_data"": {""2024-09-04"": 7112567.0, ""2024-09-11"": 7115001.0, ""2024-09-18"": 7109137.0, ""2024-09-25"": 7080059.0, ""2024-10-02"": 7046925.0, ""2024-10-09"": 7046840.0, ""2024-10-16"": 7039284.0, ""2024-10-23"": 7029408.0, ""2024-10-30"": 7013490.0, ""2024-11-06"": 6994299.0, ""2024-11-13"": 6967108.0, ""2024-11-20"": 6923731.0, ""2024-11-27"": 6905140.0, ""2024-12-04"": 6895827.0, ""2024-12-11"": 6897485.0, ""2024-12-18"": 6889332.0, ""2024-12-25"": 6885963.0, ""2025-01-01"": 6852491.0, ""2025-01-08"": 6853554.0, ""2025-01-15"": 6834070.0, ""2025-01-22"": 6831760.0, ""2025-01-29"": 6818186.0, ""2025-02-05"": 6810935.0, ""2025-02-12"": 6813513.0, ""2025-02-19"": 6782332.0, ""2025-02-26"": 6766101.0, ""2025-03-05"": 6756764.0, ""2025-03-12"": 6759571.0, ""2025-03-19"": 6755982.0, ""2025-03-26"": 6740253.0}, ""interest_rate_data"": {""2022-09-01"": 2.56, ""2022-10-01"": 3.08, ""2022-11-01"": 3.78, ""2022-12-01"": 4.1, ""2023-01-01"": 4.33, ""2023-02-01"": 4.57, ""2023-03-01"": 4.65, ""2023-04-01"": 4.83, ""2023-05-01"": 5.06, ""2023-06-01"": 5.08, ""2023-07-01"": 5.12, ""2023-08-01"": 5.33, ""2023-09-01"": 5.33, ""2023-10-01"": 5.33, ""2023-11-01"": 5.33, ""2023-12-01"": 5.33, ""2024-01-01"": 5.33, ""2024-02-01"": 5.33, ""2024-03-01"": 5.33, ""2024-04-01"": 5.33, ""2024-05-01"": 5.33, ""2024-06-01"": 5.33, ""2024-07-01"": 5.33, ""2024-08-01"": 5.33, ""2024-09-01"": 5.13, ""2024-10-01"": 4.83, ""2024-11-01"": 4.64, ""2024-12-01"": 4.48, ""2025-01-01"": 4.33, ""2025-02-01"": 4.33}}"
3,2025-03-31 18:42:49,A,Decreasing,High,6740253.0,4.33,Inflation fighting quadrant - focus on value stocks,"{""balance_sheet_data"": {""2024-09-04"": 7112567.0, ""2024-09-11"": 7115001.0, ""2024-09-18"": 7109137.0, ""2024-09-25"": 7080059.0, ""2024-10-02"": 7046925.0, ""2024-10-09"": 7046840.0, ""2024-10-16"": 7039284.0, ""2024-10-23"": 7029408.0, ""2024-10-30"": 7013490.0, ""2024-11-06"": 6994299.0, ""2024-11-13"": 6967108.0, ""2024-11-20"": 6923731.0, ""2024-11-27"": 6905140.0, ""2024-12-04"": 6895827.0, ""2024-12-11"": 6897485.0, ""2024-12-18"": 6889332.0, ""2024-12-25"": 6885963.0, ""2025-01-01"": 6852491.0, ""2025-01-08"": 6853554.0, ""2025-01-15"": 6834070.0, ""2025-01-22"": 6831760.0, ""2025-01-29"": 6818186.0, ""2025-02-05"": 6810935.0, ""2025-02-12"": 6813513.0, ""2025-02-19"": 6782332.0, ""2025-02-26"": 6766101.0, ""2025-03-05"": 6756764.0, ""2025-03-12"": 6759571.0, ""2025-03-19"": 6755982.0, ""2025-03-26"": 6740253.0}, ""interest_rate_data"": {""2022-09-01"": 2.56, ""2022-10-01"": 3.08, ""2022-11-01"": 3.78, ""2022-12-01"": 4.1, ""2023-01-01"": 4.33, ""2023-02-01"": 4.57, ""2023-03-01"": 4.65, ""2023-04-01"": 4.83, ""2023-05-01"": 5.06, ""2023-06-01"": 5.08, ""2023-07-01"": 5.12, ""2023-08-01"": 5.33, ""2023-09-01"": 5.33, ""2023-10-01"": 5.33, ""2023-11-01"": 5.33, ""2023-12-01"": 5.33, ""2024-01-01"": 5.33, ""2024-02-01"": 5.33, ""2024-03-01"": 5.33, ""2024-04-01"": 5.33, ""2024-05-01"": 5.33, ""2024-06-01"": 5.33, ""2024-07-01"": 5.33, ""2024-08-01"": 5.33, ""2024-09-01"": 5.13, ""2024-10-01"": 4.83, ""2024-11-01"": 4.64, ""2024-12-01"": 4.48, ""2025-01-01"": 4.33, ""2025-02-01"": 4.33}}"

